IMMCNTX2,IMMBTRDB,XSMMAIBS
IMMCNTX2,IMMBNTD2,XSMMAIBS
IMMCNTX2,IMMADJDB,XSMMAIBS
IMMCNTX2,IMMTBLDB,XSMMAIBS
IMMMNDU,IMB.PROD_SUB_TYP
IMMPRLES,IMB.WORK2_TBL
IMM0010,IMM.ECHK_PRMM_PYMNT
IMMGNIOU,IMM.TBL_HDR
IMMGNIOU,IMM.TBL_DTL
IMMCGIOS,IMM.CATG_ATTR_VAL
IMMCGIOS,IMM.CATG_DESC
IMMCGIOS,IMM.CLIENT_CATG
IMMCGIOS,TEMP4
IMMCGIOS,TEMP2
IMM0651S,IMB.GRP_FACTOR
IMM0365,IMM.DELTA
IMMANNVI,IMM.MBR_ANNIV
IMMWCERT,IMMBTRDB,XSMMAIBS
IMMWCERT,IMMMBRDB,XSMMAIBS
IMM6701,PROD
IMM6701,IMB.TRAN_LOG
IMM105S,HIB
IMMEMEDS,IMMGPSDB,XSMMAIBS
IMMEMEDS,IMMMBRDB,XSMMAIBS
IMMWVSUS,IMMBNTDB,XSMMAIBS
IMMWVSUS,IMMZIPDB,XSMMAIBS
IMMWVSUS,IMMTBLDB,XSMMAIBS
IMMWVSUS,IMMWK1DB,XSMMAIBS
IMMWVSUS,IMMAUDDB,XSMMAIBS
IMMWVSUS,IMMBTRDB,XSMMAIBS
IMMWVSUS,IMMBNTS1,XSMMAIBS
IMMWVSUS,IMMBNTS2,XSMMAIBS
IMMERTHS,IMB.WORK2_TBL
IMMERTHS,IMB.GL_RATES
IMMERTHS,IMB.DIS_RATES
IMMERTHS,IMB.GRP_FACTOR
IMMTRMSS,IMMMBRDB,XSMMAIBS
IMMTRMSS,IMMBNTDB,XSMMAIBS
IMMTRMSS,IMMBNTS1,XSMMAIBS
IMMTRMSS,IMMBNTS2,XSMMAIBS
IMMTRMSS,IMMAUDDB,XSMMAIBS
IMMTRMSS,IMMGPSDB,XSMMAIBS
IMMTRMSS,IMMZIPDB,XSMMAIBS
IMMTRMSS,IMMDSMDB,XSMMAIBS
IMMTRMSS,IMMLSTDB,XSMMAIBS
IMMTRMSS,IMMMBRD2,XSMMAIBS
IMMTRMSS,IMMFINDB,XSMMAIBS
IMMTRMSS,IMMBTRDB,XSMMAIBS
IMMTRMSS,IMMBNTD2,XSMMAIBS
IMMTRMSS,IMMADJDB,XSMMAIBS
IMMTRMSS,IMMTBLDB,XSMMAIBS
IMMMNIOS,IMM.MNDT_RULE
IMMPRDUS,IMB.PROD
IMMPRDUS,IMM.TBL_DTL
IMMPRDUS,IMB.GRP
IMMPRDUS,IMB.GROUPRED
IMMVVO1S,IMB.CONT_ACTV
IMMVVO1S,IMB.LIFE_FACTOR
IMMIMBUS,IMMMBRDB,XSMMAIBS
IMMIMBUS,IMMZIPDB,XSMMAIBS
IMMIMBUS,IMMXRFDB,XSMMAIBS
IMMIMBUS,IMMFINDB,XSMMAIBS
IMMIMBUS,IMMLSTDB,XSMMAIBS
IMMIMBUS,IMMBTRDB,XSMMAIBS
IMMIMBUS,IMMTBLDB,XSMMAIBS
IMMIMBUS,IMMGPSDB,XSMMAIBS
